@relation 'Altura-de-ola-weka.filters.unsupervised.attribute.Remove-R11,16,17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.RemoveUseless-M50.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute air numeric
@attribute pres numeric
@attribute rhum numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute class {Baja,Media,Moderada,MuyAlta}

@data
0.898203,0.701149,0.75,0.422535,0.576923,0.406685,0.321429,0.272374,0.229066,0.180225,0.716981,0.892216,0.80198,Baja
0.862277,0.650064,0.903846,0.273642,0.525641,0.345404,0.341837,0.299611,0.229066,0.185232,0.690566,0.874251,0.811881,Media
0.886226,0.565773,0.942308,0.352113,0.5,0.295265,0.505102,0.451362,0.181315,0.187735,0.61761,0.886228,0.80198,Media
0.868263,0.556833,0.961538,0.571429,0.710256,0.295265,0.056122,0.077821,0.37301,0.259074,0.534591,0.904192,0.80198,Media
0.862277,0.597701,0.769231,0.573441,0.835897,0.534819,0.530612,0.494163,0.37301,0.300375,0.593711,0.904192,0.811881,Media
0.874251,0.619413,0.807692,0.541247,0.766667,0.431755,0.418367,0.404669,0.37301,0.336671,0.618868,0.892216,0.811881,Media
0.892217,0.639847,0.711538,0.605634,0.669231,0.543175,0.352041,0.322957,0.37301,0.339174,0.627673,0.898204,0.811881,Media
0.844311,0.662835,0.826923,0.645875,0.607692,0.724234,0.137755,0.120623,0.425606,0.377972,0.644025,0.874251,0.811881,Media
0.868263,0.690932,0.653846,0.657948,0.541026,0.654596,0.239796,0.206226,0.37301,0.410513,0.67673,0.886228,0.811881,Media
0.886226,0.724138,0.653846,0.629779,0.6,0.657382,0.336735,0.284047,0.425606,0.35169,0.71195,0.91018,0.831683,Baja
0.856286,0.726692,0.75,0.615694,0.651282,0.587744,0.352041,0.307393,0.37301,0.252816,0.727044,0.892216,0.841584,Media
0.832336,0.736909,0.769231,0.627767,0.641026,0.56546,0.423469,0.357977,0.258131,0.236546,0.734591,0.892216,0.841584,Media
0.832336,0.740741,0.730769,0.607646,0.623077,0.562674,0.331633,0.284047,0.258131,0.249061,0.738365,0.862275,0.831683,Media
0.868263,0.735632,0.692308,0.569417,0.602564,0.523677,0.382653,0.338521,0.258131,0.20025,0.739623,0.892216,0.831683,Baja
0.82036,0.707535,0.903846,0.571429,0.54359,0.473538,0.321429,0.268482,0.258131,0.187735,0.720755,0.874251,0.841584,Baja
0.844311,0.698595,0.826923,0.569417,0.494872,0.506964,0.209184,0.18677,0.258131,0.252816,0.70566,0.838323,0.821782,Baja
0.838323,0.688378,0.884615,0.571429,0.505128,0.504178,0.214286,0.175097,0.229066,0.225282,0.690566,0.886228,0.861386,Baja
0.808383,0.684547,0.923077,0.525151,0.61282,0.493036,0.239796,0.190661,0.635294,0.226533,0.684277,0.916168,0.851485,Baja
0.826346,0.648787,0.942308,0.49497,0.702564,0.470752,0.377551,0.33463,0.587543,0.115144,0.656604,0.904192,0.871287,Baja
0.838323,0.62069,0.961538,0.454728,0.748718,0.454039,0.459184,0.400778,0.160554,0.140175,0.622642,0.886228,0.831683,Media
0.832336,0.581098,0.980769,0.450704,0.75641,0.476323,0.520408,0.459144,0.20346,0.212766,0.586164,0.898204,0.831683,Moderada
0.88024,0.554278,0.865385,0.424547,0.815385,0.420613,0.596939,0.540856,0.32872,0.306633,0.561006,0.898204,0.831683,Moderada
0.856286,0.52235,0.961538,0.416499,0.764103,0.448468,0.535714,0.490272,0.37301,0.423029,0.534591,0.904192,0.821782,Moderada
0.868263,0.491699,0.980769,0.418511,0.666667,0.389972,0.459184,0.404669,0.37301,0.433041,0.515723,0.904192,0.821782,Moderada
0.88024,0.503193,0.942308,0.559356,0.610257,0.509749,0.270408,0.241245,0.37301,0.387985,0.504403,0.868263,0.821782,Media
0.88024,0.527458,0.961538,0.51509,0.633333,0.470752,0.326531,0.29572,0.425606,0.435544,0.532075,0.928144,0.841584,Media
0.88024,0.521073,0.980769,0.418511,0.623077,0.420613,0.336735,0.291829,0.32872,0.382979,0.540881,0.91018,0.841584,Media
0.886226,0.500639,0.980769,0.414487,0.610257,0.317549,0.331633,0.29572,0.32872,0.36796,0.522013,0.922156,0.841584,Media
0.928143,0.501916,0.884615,0.513079,0.725641,0.409471,0.428571,0.377432,0.32872,0.339174,0.501887,0.934132,0.841584,Media
0.898203,0.564496,0.826923,0.595573,0.794872,0.548747,0.479592,0.447471,0.37301,0.291615,0.552201,0.946108,0.851485,Moderada
0.886226,0.604087,0.788462,0.482897,0.728205,0.442897,0.387755,0.346304,0.425606,0.356696,0.601258,0.946108,0.851485,Media
0.88024,0.624521,0.846154,0.448692,0.7,0.442897,0.372449,0.326848,0.37301,0.340426,0.623899,0.928144,0.841584,Media
0.88024,0.636015,0.846154,0.482897,0.638462,0.428969,0.306122,0.276265,0.425606,0.377972,0.63522,0.928144,0.841584,Media
0.856286,0.634738,0.865385,0.529175,0.61282,0.495822,0.290816,0.2607,0.425606,0.397997,0.633962,0.934132,0.871287,Media
0.8503,0.643678,0.865385,0.605634,0.589744,0.518106,0.270408,0.245136,0.488581,0.436796,0.644025,0.922156,0.861386,Media
0.874251,0.65645,0.846154,0.478873,0.633333,0.520891,0.244898,0.22179,0.488581,0.370463,0.649057,0.94012,0.861386,Media
0.892217,0.650064,0.826923,0.484909,0.725641,0.437326,0.30102,0.268482,0.425606,0.352941,0.655346,0.934132,0.861386,Media
0.91018,0.634738,0.884615,0.428572,0.720513,0.431755,0.5,0.459144,0.37301,0.251564,0.637736,0.916168,0.861386,Media
0.868263,0.615581,1,0.513079,0.74359,0.512535,0.433673,0.381323,0.20346,0.300375,0.616352,0.91018,0.861386,Media
0.886226,0.601533,0.942308,0.549296,0.712821,0.493036,0.408163,0.357977,0.258131,0.289111,0.597484,0.922156,0.851485,Media
0.922157,0.61175,0.846154,0.549296,0.702564,0.520891,0.438776,0.40856,0.37301,0.277847,0.608805,0.934132,0.851485,Media
0.904192,0.618135,0.923077,0.484909,0.694872,0.473538,0.382653,0.311284,0.425606,0.324155,0.626415,0.928144,0.851485,Media
0.91018,0.595147,0.923077,0.428572,0.728205,0.423398,0.459184,0.400778,0.37301,0.282854,0.608805,0.934132,0.851485,Moderada
0.862277,0.592593,0.980769,0.547284,0.715385,0.532033,0.52551,0.498054,0.37301,0.346683,0.594969,0.928144,0.851485,Media
0.904192,0.609195,0.826923,0.482897,0.538462,0.582173,0.183673,0.175097,0.488581,0.439299,0.613836,0.886228,0.841584,Media
0.898203,0.591315,0.865385,0.509054,0.553846,0.635097,0.035714,0.038911,0.37301,0.48811,0.602516,0.826347,0.851485,Media
0.862277,0.610473,0.884615,0.623743,0.569231,0.571031,0.311224,0.268482,0.290657,0.438048,0.610063,0.904192,0.851485,Media
0.856286,0.637292,0.826923,0.61167,0.582051,0.548747,0.316327,0.284047,0.32872,0.361702,0.632704,0.916168,0.851485,Media
0.856286,0.67433,0.730769,0.585513,0.638462,0.557103,0.331633,0.342412,0.32872,0.394243,0.662893,0.886228,0.841584,Media
0.898203,0.707535,0.730769,0.545272,0.641026,0.576602,0.306122,0.268482,0.32872,0.346683,0.691824,0.934132,0.871287,Media
