@relation 'Altura-de-ola-weka.filters.unsupervised.attribute.Remove-R11,16,17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-V-R2,4,5,7,8,9,10,11,12,14-weka.filters.unsupervised.attribute.Remove-R4'

@attribute pres numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute class {Baja,Media,Moderada,MuyAlta}

@data
100730,2.900009,9.900009,9.6,6.67,5.41,1006.3,14.5,Media
100810,2.900009,9.5,10.9,8.33,5.32,1007.2,14.7,Media
100860,-0.300003,9.199997,8.4,9.09,5.69,1008.6,14.6,Media
100680,-3.099991,10.5,10.7,8.33,5.36,1007.2,14.7,Moderada
100660,2.800003,10,13.2,8.33,5.87,1006.1,14.6,Media
100790,-0.399994,3.100006,4.9,10,6.61,1007.6,13.9,Media
100650,0.900009,3.699997,1.4,8.33,7,1006.7,12.9,Media
100800,6.600006,4.300003,7.3,7.14,6.6,1007.3,14.2,Media
101010,6,4.800003,7.7,7.69,5.99,1009.1,14.4,Media
101300,4.699997,7,9.2,7.69,6.25,1011.5,13.9,Media
101560,2.699997,7.100006,7.3,7.69,5.87,1013.8,14.7,Media
101590,1,7.400009,7.2,7.14,6.12,1015.7,14.5,Media
101460,-1.899994,12.400009,11.2,8.33,5.47,1014.4,14.5,Moderada
101220,0,14.300003,16,7.14,5.38,1011.4,14,Moderada
101100,3.800003,12.400009,11.5,8.33,6.55,1010.4,14.8,Moderada
100900,2.400009,11.699997,10.5,9.09,6.67,1008.6,14.7,Moderada
100620,8.800003,13.800003,14.1,10,5.95,1005.1,14.9,Moderada
100950,12.199997,8,14.5,10,6.57,1006.4,14.4,Moderada
101330,9.600006,4.100006,10.7,8.33,6.22,1011.1,14.5,Moderada
101640,9.600006,2.600006,8.9,10.81,6.86,1014.2,14.5,Media
101800,9.199997,3,8.4,9.09,6.48,1016.3,14.5,Media
101930,7.900009,1.100006,7.9,8.33,6.01,1017.6,14.1,Media
102040,8.800003,0.699997,7.8,9.09,6.08,1019.3,14.4,Media
102050,7.300003,0.400009,4.9,9.09,5.88,1018.8,14.2,Media
101960,5.400009,1.600006,6.4,9.09,5.83,1018.6,14.2,Baja
101920,3.100006,1.400009,5.2,9.09,5.42,1017.9,13.9,Baja
101760,0,1.400009,2.6,6.67,5.28,1018,14.2,Baja
101560,-5.300003,1,2.4,8.33,6.81,1016.1,14,Baja
101500,-4.899994,-1.300003,5.4,9.09,6.61,1015.8,14,Baja
101610,-5.5,-4.399994,5.3,8.33,4.96,1016.5,14.2,Baja
101790,-4.300003,-6.300003,5.1,6.67,5.44,1018.4,14.4,Baja
102030,-0.800003,-7.199997,4.4,7.14,5.66,1019.9,14.4,Baja
102320,2.199997,-5.399994,3.8,14.81,5.86,1022.3,14.4,Baja
102530,3.5,-4.599991,3.5,6.25,5.26,1024.2,14.4,Baja
102670,2.5,-2.199997,3.7,14.81,5.91,1025.9,14.8,Baja
102630,3.199997,1,3.7,14.81,6.21,1025.7,14.5,Baja
102620,2.199997,1.400009,4.5,13.79,6.04,1025.6,14.2,Baja
102430,-1.300003,4.600006,2.7,14.81,6.7,1024.2,13.9,Baja
102230,-3.800003,3.5,3.4,13.79,4.18,1023.6,13.8,Baja
102160,-1.899994,-2.599991,5.8,5.26,3.92,1022.6,13.6,Baja
102360,3.199997,-4.599991,5.6,6.25,5.29,1023.7,14.1,Baja
102480,-0.199997,-3.099991,1.7,7.69,5.41,1024.6,14.4,Baja
102410,-3.199997,4.600006,3.2,7.69,5.97,1024.2,14.5,Baja
101960,-1.699997,10.900009,9.9,6.67,4.06,1020.2,13.8,Media
101430,4.5,11,6.4,5.88,4.84,1013.9,14.6,Media
101140,8.800003,7.100006,9.2,6.25,4.61,1010,14.6,Baja
101130,12.300003,4.699997,6.9,6.67,5.05,1009.6,14.5,Media
101390,11.699997,0.800003,8.4,7.14,5.51,1011.7,14.8,Media
101490,9.800003,-1,7.4,7.69,5.17,1013.6,14.4,Media
101590,7.5,2.600006,8.1,8.33,5.76,1014.2,14.3,Media
101470,8.5,5.699997,8.1,7.69,5.09,1013.5,14.4,Media
101390,10.5,7.400009,11.3,7.69,5.58,1012.4,13.9,Media
101430,11.800003,5,11.2,8.33,5.44,1011.8,14.3,Media
101570,10.699997,1.800003,9.2,9.09,6.15,1013.8,14.3,Media
101710,10.5,1.5,7.6,10,5.92,1015.9,14.6,Media
101790,8.100006,1,6.6,9.09,6.34,1017.2,14.3,Media
101850,6.900009,1.5,6.8,10.81,6.58,1017.4,14.1,Media
101940,8.100006,2.100006,7,10,6.24,1018.1,13.5,Baja
101840,5.199997,6.600006,7.7,10,5.83,1017.3,14.5,Baja
